Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$3,550",301 - 15 Mcmurrich Street,Lease,Condo Apt,Apartment,31-50,Toronto,Annex,1,2,1,5,Y,None,Central Air,N,N,N,Ensuite,Restrict,03,None,N,N,Gas,N,Brick,N,Y,1.0,Yonge And Davenport,Y,Y,Ausente,Toronto C02,Y,1,0,1400-1599 sqft,31-50 years,95,"Jun 28, 2023 (6 days ago)"
"$2,400",706 - 458 Richmond St Street W,Lease,Condo Apt,Apartment,0-5,Toronto,Waterfront Communities C1,1,1,1,4,N,None,Central Air,N,Ausente,N,Ensuite,Restrict,7,None,Ausente,Ausente,Gas,Ausente,Brick,N,Ausente,0.0,Richmond St. W/ Spadina Ave.,Y,Ausente,Ausente,Toronto C01,Y,0,0,0-499 sqft,0-5 years,99,"Jun 28, 2023 (6 days ago)"
"$4,800",608 - 403 Church Street,Lease,Condo Apt,Apartment,0-5,Toronto,Church-Yonge Corridor,3,2,1,9,N,None,Central Air,N,Ausente,N,Ensuite,N,06,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,1.0,Church/Carlton,Ausente,Ausente,Ausente,Toronto C08,Y,0,0,900-999 sqft,0-5 years,98,"Jun 28, 2023 (6 days ago)"
"$2,800",2102 - 35 Hollywood Avenue,Lease,Condo Apt,Apartment,Ausente,Toronto,Willowdale East,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,18,None,Ausente,Ausente,Gas,Y,Brick,N,Y,1.0,Yonge/Sheppard,Y,Y,Ausente,Toronto C14,Y,1,0,600-699 sqft,No Data,77,"Jun 28, 2023 (6 days ago)"
"$2,800",504 - 801 King Street W,Lease,Condo Apt,Apartment,Ausente,Toronto,Niagara,1,1,1,5,N,None,Central Air,N,Ausente,N,Ensuite,Restrict,5,None,Ausente,N,Gas,Ausente,Brick,N,Y,1.0,King/Bathurst/Niagara,Y,Y,Y,Toronto C01,Y,1,0,700-799 sqft,No Data,94,"Jun 28, 2023 (6 days ago)"
"$4,600",1016 - 230 Queens Quay W,Lease,Condo Apt,Apartment,16-30,Toronto,Waterfront Communities C1,2,2,1,5,N,Terr,Central Air,N,Ausente,Y,Ensuite,N,9,None,Y,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Queen's Quay/Simcoe,Y,Y,Y,Toronto C01,Y,0,0,1200-1399 sqft,16-30 years,95,"Jun 28, 2023 (6 days ago)"
"$3,975",511 - 16 Yonge Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,2,1,6,N,Terr,Central Air,N,Ausente,N,Ensuite,Restrict,5,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Yonge St/Queens Quay,Y,Y,Y,Toronto C01,Y,1,0,1000-1199 sqft,No Data,98,"Jun 28, 2023 (6 days ago)"
"$2,300",712 - 32 Trolley Crescent,Lease,Condo Apt,Apartment,6-10,Toronto,Waterfront Communities C8,1,1,1,4,N,None,Central Air,N,Ausente,N,Ensuite,N,7,None,Y,Ausente,Gas,Ausente,Concrete,Y,Ausente,0.0,King St E & Lower River St,Ausente,Ausente,Ausente,Toronto C08,Y,0,0,500-599 sqft,6-10 years,97,"Jun 28, 2023 (6 days ago)"
"$4,195",531 - 150 Logan Avenue,Lease,Condo Apt,Apartment,New,Toronto,South Riverdale,2,2,1,6,N,Terr,Central Air,N,Ausente,N,Ensuite,N,5,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Logan/Eastern,Y,Y,Ausente,Toronto E01,Y,1,0,900-999 sqft,New,92,"Jun 28, 2023 (6 days ago)"
"$2,850",1615 - 95 Mcmahon Drive,Lease,Comm Element Condo,Apartment,Ausente,Toronto,Bayview Village,1,1,1,3,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,16,None,Ausente,Ausente,Gas,Ausente,Alum Siding,N,Ausente,1.0,Leslie St. & Sheppard Ave. E.,Y,Y,Ausente,Toronto C15,Y,0,0,500-599 sqft,No Data,38,"Jun 28, 2023 (6 days ago)"
"$2,500",511 - 25 Telegram Mews,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,4,None,Y,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Spadina & Front,Y,Y,Ausente,Toronto C01,Y,1,0,500-599 sqft,No Data,95,"Jun 28, 2023 (6 days ago)"
"$2,700",505 - 18 Maitland Terrace,Lease,Condo Apt,Apartment,0-5,Toronto,Church-Yonge Corridor,1,1,1,3,N,None,Central Air,N,Ausente,Y,Ensuite,Restrict,6,None,Y,Ausente,Gas,Ausente,Concrete,N,Ausente,0.0,Yonge/Wellesley,Y,Ausente,Ausente,Toronto C08,Y,0,0,0-499 sqft,0-5 years,99,"Jun 28, 2023 (6 days ago)"
"$2,650",2011 - 195 Redpath Avenue,Lease,Condo Apt,Apartment,0-5,Toronto,Mount Pleasant West,1,2,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,20,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Broadway/Redpath,Y,Y,Ausente,Toronto C10,Y,1,0,500-599 sqft,0-5 years,86,"Jun 28, 2023 (6 days ago)"
"$2,700",306 - 1 Shaw Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Niagara,1,1,1,4,Y,Open,Central Air,N,Ausente,N,Ensuite,Restrict,3,None,Y,Ausente,Gas,Ausente,Brick,Y,Y,1.0,King St West & Shaw St,Y,Y,Ausente,Toronto C01,Y,0,0,600-699 sqft,No Data,94,"Jun 28, 2023 (6 days ago)"
"$4,200",1815 - 352 Front Street W,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,3,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,17,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Front Street W / Spadina,Y,Y,Ausente,Toronto C01,Y,1,0,1000-1199 sqft,No Data,98,"Jun 28, 2023 (6 days ago)"
"$2,050",917 - 101 Peter Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,0,1,1,4,N,Terr,Central Air,N,N,N,Ensuite,Restrict,9,None,Y,N,Gas,N,Concrete,Y,Y,0.0,Adelaide/Peter,Y,Y,Ausente,Toronto C01,Y,0,0,0-499 sqft,No Data,99,"Jun 28, 2023 (6 days ago)"
"$3,200",529 - 5 Mabelle Avenue,Lease,Condo Apt,Apartment,0-5,Toronto,Islington-City Centre West,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,5,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Bloor/Islington,Ausente,Y,Ausente,Toronto W08,Y,0,0,700-799 sqft,0-5 years,55,"Jun 28, 2023 (6 days ago)"
"$2,800",509 - 1169 Queen Street W,Lease,Condo Apt,Apartment,Ausente,Toronto,Little Portugal,1,1,1,3,Y,Terr,Central Air,N,Ausente,N,Ensuite,N,5,None,Ausente,Ausente,Gas,Ausente,Brick,N,Ausente,0.0,Dufferin And Queen Street Wes,Y,Y,Ausente,Toronto C01,Y,0,0,600-699 sqft,No Data,95,"Jun 28, 2023 (6 days ago)"
"$3,000",4712 - 386 Yonge Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,1,1,4,N,None,Central Air,N,Ausente,Y,Ensuite,Restrict,44,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Yonge/ Gerrard,Y,Y,Ausente,Toronto C01,Y,1,0,600-699 sqft,No Data,99,"Jun 28, 2023 (6 days ago)"
"$2,650",1508 - 3 Gloucester Street,Lease,Condo Apt,Apartment,0-5,Toronto,Church-Yonge Corridor,1,1,1,4,N,None,Central Air,N,Ausente,N,Ensuite,Restrict,12,None,Y,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Yonge/Gloucester,Y,Ausente,Ausente,Toronto C08,Y,0,0,0-499 sqft,0-5 years,97,"Jun 28, 2023 (6 days ago)"
"$3,300",503 - 23 Glebe Road W,Lease,Condo Apt,Apartment,0-5,Toronto,Yonge-Eglinton,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,5,None,Ausente,Ausente,Gas,N,Brick,N,Y,1.0,Yonge/Eglinton/Davisville,Ausente,Y,Ausente,Toronto C03,Y,0,0,700-799 sqft,0-5 years,86,"Jun 28, 2023 (6 days ago)"
"$2,850",1606 - 2 Church Street,Lease,Condo Apt,Apartment,0-5,Toronto,Waterfront Communities C8,1,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,16,None,Ausente,N,Gas,N,Brick,N,Y,0.0,Church/The Espalande,Y,Y,Ausente,Toronto C08,Y,1,0,500-599 sqft,0-5 years,97,"Jun 28, 2023 (6 days ago)"
"$3,000",927 - 1830 Bloor Street W,Lease,Condo Apt,Apartment,0-5,Toronto,High Park North,1,2,1,5,N,Open,Central Air,Y,Ausente,Y,Ensuite,Restrict,9,None,Y,Ausente,Gas,N,Concrete,N,Y,1.0,Bloor And High Park,Y,Y,Ausente,Toronto W02,Y,1,0,700-799 sqft,0-5 years,81,"Jun 27, 2023 (6 days ago)"
"$4,500",102 - 365 Dundas Street E,Lease,Condo Apt,Loft,Ausente,Toronto,Moss Park,1,1,1,3,Y,None,Central Air,N,Ausente,Y,Ensuite,Restrict,1,None,Ausente,N,Gas,N,Brick,Y,Y,0.0,Dundas St E And Ontario St,Y,Y,Y,Toronto C08,Y,0,0,600-699 sqft,No Data,99,"Jun 27, 2023 (6 days ago)"
"$2,550",1717 - 181 Village Green Square,Lease,Condo Apt,Apartment,6-10,Toronto,Agincourt South-Malvern West,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,17,None,Y,Ausente,Gas,Ausente,Brick,N,Ausente,1.0,Kennedy/401/Sheppard,Ausente,Ausente,Ausente,Toronto E07,Y,1,0,600-699 sqft,6-10 years,45,"Jun 27, 2023 (6 days ago)"
"$2,750",1007 - 11 Wellesley Street W,Lease,Condo Apt,Apartment,0-5,Toronto,Bay Street Corridor,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,10,None,Ausente,N,Gas,N,Brick,N,Y,0.0,Yonge/Wellesley,Ausente,Y,Ausente,Toronto C01,Y,1,0,500-599 sqft,0-5 years,97,"Jun 27, 2023 (6 days ago)"
"$3,100",512 - 38 Iannuzzi Street,Lease,Condo Apt,Apartment,0-5,Toronto,Niagara,1,1,1,5,N,Open,Central Air,N,Y,Y,Ensuite,N,5,None,Y,N,Gas,N,Alum Siding,N,Y,1.0,Bathurst And Lakeshore,Y,Y,Ausente,Toronto C01,Ausente,1,0,600-699 sqft,0-5 years,89,"Jun 27, 2023 (6 days ago)"
"$2,750",718 - 98 Lillian Street,Lease,Condo Apt,Apartment,6-10,Toronto,Mount Pleasant West,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,7,None,Ausente,N,Gas,Ausente,Concrete,N,Y,1.0,Yonge And Eglinton,Y,Y,Ausente,Toronto C10,Y,1,0,600-699 sqft,6-10 years,90,"Jun 27, 2023 (6 days ago)"
"$3,100",646 - 53 Mccaul Street,Lease,Condo Apt,Apartment,31-50,Toronto,Kensington-Chinatown,2,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,5,None,Y,N,Gas,N,Concrete,N,Y,0.0,Queen/Mccaul,Y,Y,Y,Toronto C01,Y,0,0,800-899 sqft,31-50 years,99,"Jun 27, 2023 (6 days ago)"
"$1,000",Rm2 - 290 Village Green Square,Lease,Condo Townhouse,3-Storey,Ausente,Toronto,Agincourt South-Malvern West,1,1,1,1,N,None,Central Air,N,Ausente,Y,In Area,N,01,None,Ausente,Ausente,Gas,Y,Brick,N,Ausente,0.0,Kennedy & 401,Ausente,Ausente,Ausente,Toronto E07,Ausente,0,0,0-499 sqft,No Data,48,"Jul 4, 2023 (9 hours ago)"
"$1,200",Rm1 - 290 Village Green Square,Lease,Condo Townhouse,3-Storey,Ausente,Toronto,Agincourt South-Malvern West,1,1,1,1,N,None,Central Air,N,N,Y,In Area,N,01,None,Ausente,Ausente,Gas,Ausente,Brick,N,Ausente,0.0,Kennedy & 401,Ausente,Ausente,Ausente,Toronto E07,Ausente,0,0,0-499 sqft,No Data,48,"Jul 4, 2023 (9 hours ago)"
