Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$2,700",1208 - 770 Bay Street,Lease,Condo Apt,Apartment,6-10,Toronto,Bay Street Corridor,1,1,1,5,N,Open,Central Air,N,N,N,Ensuite,Restrict,12,None,Y,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Bay/College,Y,Y,Ausente,Toronto C01,Y,0,0,500-599 sqft,6-10 years,99,"Jun 29, 2023 (2 days ago)"
"$3,100",1905 - 68 Grangeway Avenue,Lease,Condo Apt,Apartment,Ausente,Toronto,Woburn,2,2,1,5,N,Open,Central Air,N,Ausente,Y,Ensuite,N,16,None,Ausente,Ausente,Gas,Ausente,Brick,Y,Ausente,1.0,Mccowan & Ellesmere,Y,Y,Y,Toronto E09,Ausente,0,0,800-899 sqft,No Data,64,"Jun 29, 2023 (2 days ago)"
"$2,500",1609 - 3121 Sheppard Avenue E,Lease,Condo Apt,Apartment,0-5,Toronto,Tam O'Shanter-Sullivan,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,N,13,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Sheppard & Pharmacy,Y,Y,Ausente,Toronto E05,Y,0,0,500-599 sqft,0-5 years,49,"Jun 29, 2023 (2 days ago)"
"$3,999",1004 - 1 Bloor Street E,Lease,Condo Apt,Apartment,New,Toronto,Bay Street Corridor,2,2,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,10,None,Ausente,N,Gas,Y,Concrete,N,Y,0.0,Yonge & Bloor,Y,Y,Ausente,Toronto C01,Y,0,0,800-899 sqft,New,100,"Jun 29, 2023 (2 days ago)"
"$2,600",1701 - 159 Wellesley Street E,Lease,Condo Apt,Apartment,New,Toronto,Church-Yonge Corridor,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,N,17,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Ausente,0.0,Wellesley & Sherbourne,Ausente,Ausente,Ausente,Toronto C08,Y,1,0,600-699 sqft,New,97,"Jun 29, 2023 (2 days ago)"
"$3,200",5706 - 7 Grenville Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,1,1,6,N,Open,Central Air,N,Ausente,Part,Ensuite,Restrict,57,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Yonge/College,Y,Y,Ausente,Toronto C01,Y,1,0,500-599 sqft,No Data,99,"Jun 29, 2023 (2 days ago)"
"$2,800",3001 - 56 Forest Manor Road W,Lease,Condo Apt,Apartment,0-5,Toronto,Henry Farm,1,2,0,4,N,Open,Central Air,N,N,N,Ensuite,Restrict,30,None,Y,N,Gas,N,Brick,Y,Ausente,1.0,Donmills And Sheppard Ave,Ausente,Ausente,Ausente,Toronto C15,Y,1,0,500-599 sqft,0-5 years,53,"Jun 29, 2023 (2 days ago)"
"$2,350",808 - 8 Scollard Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Annex,0,1,1,2,N,Open,Central Air,N,N,N,Ensuite,Restrict,8,None,Y,Ausente,Gas,Ausente,Concrete,Y,Y,0.0,Yonge Davenport,Y,Y,Ausente,Toronto C02,Y,1,0,0-499 sqft,No Data,98,"Jun 29, 2023 (2 days ago)"
"$2,600",518 - 319 Merton Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Mount Pleasant West,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,N,5,None,Ausente,N,Gas,N,Brick,Y,Y,1.0,Mount Pleasant & Davisville,Y,Y,Ausente,Toronto C10,Y,0,0,500-599 sqft,No Data,71,"Jun 29, 2023 (2 days ago)"
"$2,550",2903 - 28 Wellesley Street E,Lease,Condo Apt,Apartment,Ausente,Toronto,Church-Yonge Corridor,1,1,1,3,N,Open,Central Air,N,Ausente,Y,Ensuite,Restrict,27,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,0.0,Yonge / Wellesley,Y,Y,Ausente,Toronto C08,Y,0,0,0-499 sqft,No Data,98,"Jun 29, 2023 (2 days ago)"
"$2,600",11 - 29 Four Winds Drive,Lease,Condo Townhouse,3-Storey,Ausente,Toronto,York University Heights,4,2,1,7,N,None,Central Air,N,Ausente,N,Coin Operated,Restrict,1,None,N,Ausente,Gas,Ausente,Brick,Y,Y,0.0,Keele / Finch,Y,Y,Ausente,Toronto W05,Y,0,0,1000-1199 sqft,No Data,63,"Jun 29, 2023 (2 days ago)"
"$615,888",1401 - 10 Deerlick Court,Sale,Condo Apt,Apartment,New,Toronto,Parkwoods-Donalda,1,2,1,5,N,Open,Other,N,Ausente,Ausente,Ausente,Restrict,14,None,Y,Ausente,Electric,Ausente,Concrete,Ausente,Ausente,1.0,York Mills & Dvp,Ausente,Ausente,Ausente,Toronto C13,Y,1,0,600-699 sqft,New,43,"Jun 29, 2023 (2 days ago)"
"$2,300",307 - 5949 Yonge Street,Lease,Co-Ownership Apt,Apartment,Ausente,Toronto,Newtonbrook East,1,1,1,4,N,Open,None,N,Ausente,Y,Ensuite,Restrict,3,None,Y,Ausente,Electric,Ausente,Concrete,N,Ausente,1.0,Yonge/Cummer,Y,Y,Y,Toronto C14,Y,0,0,600-699 sqft,No Data,62,"Jun 29, 2023 (2 days ago)"
"$2,600",2505 - 121 Mcmahon Drive,Lease,Condo Apt,Apartment,Ausente,Toronto,Bayview Village,1,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,25,None,Y,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Leslie And Sheppard,Y,Y,Ausente,Toronto C15,Y,1,0,600-699 sqft,No Data,38,"Jun 29, 2023 (2 days ago)"
