Price,Address,Status,Type,Style,Age,Area,Community,Bedrooms,Bathrooms,Kitchens,Rooms,Den/Family Room,Patio Terrace,Air Conditioning,Fireplace,Handicap Equipped,Furnished,Laundry,Pets,Stories,Basement,Elevator,Energy Certificate,Heating,Green PIS,Exterior,Private Entrance,Central A/C Included,Garage,Cross Street,Water Included,Heating Included,Hydro Included,Municipality_District,Building Insurance Included,Bedroom Plus,Room Plus,Size,Age_cabecalho,Walk Score,Added
"$2,300",510 - 1346 Danforth Road,Lease,Condo Apt,Apartment,Ausente,Toronto,Eglinton East,1,1,1,4,N,Open,Central Air,N,N,N,Ensuite,N,5,None,Y,Ausente,Gas,Ausente,Concrete,Y,Ausente,1.0,Eglinton & Danforth,Ausente,Ausente,Ausente,Toronto E08,Ausente,0,0,600-699 sqft,No Data,26,"Jun 22, 2023 (10 days ago)"
"$2,700",2608 - 763 Bay Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,25,None,Ausente,N,Gas,Ausente,Concrete,N,Y,0.0,Bay And College,Y,Y,Y,Toronto C01,Y,0,0,500-599 sqft,No Data,99,"Jun 22, 2023 (10 days ago)"
"$2,750",1906 - 44 St Joseph Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,1,1,1,4,N,None,Central Air,N,Ausente,N,Ensuite,N,16,None,Ausente,Ausente,Gas,Ausente,Brick,Y,Y,1.0,Bay/Bloor,Y,Y,Y,Toronto C01,Y,1,0,700-799 sqft,No Data,98,"Jun 26, 2023 (6 days ago)"
"$2,638,800",Ph03 - 17 Bathurst Street,Sale,Condo Apt,Apartment,0-5,Toronto,Waterfront Communities C1,3,3,1,6,N,Terr,Central Air,Y,Ausente,Ausente,Ausente,Restrict,41,None,Ausente,Ausente,Gas,Ausente,Concrete,Ausente,Y,2.0,Lakeshore Blvd W & Bathurst St,Y,Y,Ausente,Toronto C01,Y,0,0,1600-1799 sqft,0-5 years,91,"Jun 21, 2023 (10 days ago)"
"$3,200",710 - 270 Wellington Street W,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,2,1,5,N,Open,Central Air,N,Ausente,Y,Ensuite,N,7,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Y,1.0,Wellington St W&Blue Jays Way,Y,Y,Y,Toronto C01,Y,0,0,700-799 sqft,No Data,98,"Jun 22, 2023 (10 days ago)"
"$2,550",219 - 9 Mabelle Avenue,Lease,Condo Apt,Apartment,0-5,Toronto,Islington-City Centre West,1,2,1,5,N,Jlte,Central Air,N,Ausente,N,Ensuite,Restrict,2,None,Ausente,Ausente,Gas,Ausente,Concrete,Y,Ausente,1.0,Islington/Bloor St W,Ausente,Ausente,Ausente,Toronto W08,Y,1,0,600-699 sqft,0-5 years,56,"Jun 22, 2023 (10 days ago)"
"$1,699,000",2308 - 180 University Avenue,Sale,Condo Apt,Apartment,6-10,Toronto,Bay Street Corridor,2,3,1,11,N,Open,Central Air,Y,Ausente,Ausente,Ausente,Restrict,07,None,Y,Ausente,Gas,Ausente,Alum Siding,Ausente,Ausente,1.0,University & Adelaide,Ausente,Ausente,Ausente,Toronto C01,Ausente,0,0,1400-1599 sqft,6-10 years,100,"Jun 26, 2023 (5 days ago)"
"$3,450",2909 - 28 Ted Rogers Way,Lease,Condo Apt,Apartment,Ausente,Toronto,Church-Yonge Corridor,2,1,1,5,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,28,None,Ausente,Ausente,Gas,Ausente,Brick,N,Y,1.0,Jarvis And Bloor,Y,Y,Ausente,Toronto C08,Y,0,0,700-799 sqft,No Data,92,"Jun 22, 2023 (10 days ago)"
"$3,450",1103 - 381 Front Street W,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,2,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,N,10,None,Ausente,N,Gas,N,Concrete,Y,Y,1.0,Front/Spadina,Y,Y,Y,Toronto C01,Y,1,0,800-899 sqft,No Data,96,"Jun 22, 2023 (10 days ago)"
"$2,500",3509 - 4978 Yonge Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Lansing-Westgate,1,1,1,4,N,Open,Central Air,N,Ausente,N,Ensuite,N,30,None,Ausente,Ausente,Gas,Ausente,Concrete,N,Y,1.0,Yonge/Sheppard,Y,Ausente,Ausente,Toronto C07,Y,0,0,500-599 sqft,No Data,99,"Jun 22, 2023 (10 days ago)"
"$3,900",616 - 600 Queens Quay W,Lease,Condo Apt,Apartment,Ausente,Toronto,Waterfront Communities C1,2,2,1,3,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,5,None,Ausente,Ausente,Electric,Ausente,Concrete,Y,Y,0.0,Queens Quay West/Dan Lecke,Y,Y,Y,Toronto C01,Ausente,1,0,900-999 sqft,No Data,89,"Jun 22, 2023 (10 days ago)"
"$3,500",18 Carnahan Terrace,Lease,Condo Townhouse,3-Storey,Ausente,Toronto,Danforth,3,3,1,6,Y,Open,Central Air,Y,Ausente,N,In Area,Restrict,1,None,Ausente,Ausente,Gas,Ausente,Brick Front,Y,Ausente,1.0,Victoria Park & Gerrard,Y,Ausente,Ausente,Toronto E03,Y,0,0,1200-1399 sqft,No Data,90,"Jun 22, 2023 (10 days ago)"
"$2,900",3302 - 1001 Bay Street,Lease,Condo Apt,Apartment,16-30,Toronto,Bay Street Corridor,1,1,1,5,N,None,Central Air,N,Ausente,N,Ensuite,N,33,None,Ausente,Ausente,Electric,Ausente,Brick,N,Y,1.0,Bay And Wellesley,Y,Ausente,Ausente,Toronto C01,Y,1,0,600-699 sqft,16-30 years,97,"Jun 22, 2023 (10 days ago)"
"$3,950",1203 - 357 King Street W,Lease,Condo Apt,Apartment,New,Toronto,Waterfront Communities C1,2,2,1,5,N,None,Central Air,N,Ausente,N,Ensuite,Restrict,12,None,Ausente,N,Gas,N,Concrete,Y,Ausente,0.0,King Street W / Blue Jays Way,Ausente,Ausente,Ausente,Toronto C01,Y,0,0,800-899 sqft,New,98,"Jun 22, 2023 (10 days ago)"
"$3,630",2711 - 70 Temperance Street,Lease,Condo Apt,Apartment,Ausente,Toronto,Bay Street Corridor,2,2,1,6,N,Open,Central Air,N,Ausente,N,Ensuite,Restrict,26,None,Ausente,Ausente,Gas,Ausente,Brick,N,Y,0.0,Bay/Adelaide,Y,Y,Ausente,Toronto C01,Y,0,0,800-899 sqft,No Data,100,"Jun 22, 2023 (10 days ago)"
